fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi
2003-10-01,5.9211859631846036,803.4037856380593,796.4223519045928,396.73716414550944,402.2551259491697,446.59090909090907
2003-11-01,5.638033343610769,802.2896869601457,795.3190146468861,397.28218325564086,403.50524002429785,469.1666666666667
2003-12-01,5.543470688810053,800.6367567650246,793.9428656769846,397.89832407412035,405.64398366183826,439.09090909090907
2004-01-01,5.661660041889594,799.967857949945,791.9295461543915,398.3743573551739,409.6216651643826,387.2
2004-02-01,5.590763193829608,798.6164860332727,790.6341143477853,399.00190337193214,410.85434977492065,433.4736842105263
2004-03-01,5.448818528406978,798.3951528365915,788.9927201637994,399.71275206171805,414.9802036735107,402.30434782608694
2004-04-01,5.543470688810053,796.9011781106478,787.8380775281075,400.0239982244207,415.9459175092648,379.85714285714283
2004-05-01,5.306672093669222,797.9338895262327,790.8176659195276,400.4439695561764,420.9806247860053,529.25
2004-06-01,5.325636630043147,797.2466015974566,790.6958120123935,401.2043392764664,421.4788916166078,486.5
2004-07-01,5.638033343610769,796.9011781106478,788.2834640146207,401.42444178758853,424.1852767984382,454.2857142857143
2004-08-01,5.354076692802976,795.2843717245798,786.2456973172915,401.7091501673076,427.2715305376612,423.6363636363636
2004-09-01,5.354076692802976,792.1150942765466,784.471138446059,402.17241338010916,426.68492872979493,398.14285714285717
2004-10-01,5.354076692802976,793.3796874815412,785.565203649361,402.4645270258957,431.2837423243513,400.55
2004-11-01,5.188062187698888,790.2487437162855,783.5421999408558,402.9362695220524,426.94184843968895,360.9
2004-12-01,5.18331486400172,786.3266724009574,778.7948444689184,403.2524708560951,425.0307433092967,346.6363636363636
2005-01-01,4.974209189481401,784.7590647701408,776.7316916610202,403.66505649155516,429.1133526963347,358.85
2005-02-01,4.879016416943205,783.9328634387449,775.8617156647728,404.1101510993929,432.15627477054034,357.94736842105266
2005-03-01,4.936142953772409,784.2475146324659,776.3748935390695,404.6199217247776,437.49080231763804,371
2005-04-01,4.945660871259249,785.5544677915664,776.2141786606843,404.92928821597707,435.7833627370171,409.85714285714283
2005-05-01,4.936142953772409,784.8933726364071,775.7369402128824,405.3654538955327,434.1760239487614,375.76190476190476
2005-06-01,4.77419959854211,784.6980982138789,775.4390062439558,405.9062242155894,436.8441134990392,339.3636363636364
2005-07-01,4.640637281415583,782.4046010856292,775.0457165471411,406.20913312952825,436.11431030527683,322.2
2005-08-01,4.640637281415583,780.3843303538772,774.330480532166,406.45687853127725,438.17419223637313,304.4782608695652
2005-09-01,4.60721881023831,780.0777383916937,773.8261724838336,407.0604155112675,438.6589458957461,261.23809523809524
2005-10-01,4.49733656427312,778.3224016336037,773.718191488631,407.60801523170437,434.5067042762543,277.65
2005-11-01,4.745594115629533,777.2752716468742,773.1902943784899,407.895731943307,431.5837480343446,253.45
2005-12-01,4.545126290391735,776.3977484390173,773.1451492683685,407.97614939739685,434.17118860871955,240.1904761904762
2006-01-01,4.420825466432028,776.2170607138205,772.8638515205823,408.1139516412958,441.06174242829627,212.7
2006-02-01,4.296369943211572,775.5801430758065,772.1510273682235,408.2142452190152,442.4148321337653,174.10526315789474
2006-03-01,4.2580447535118475,776.2170607138205,772.4163594289971,408.66460063930737,443.4004976116649,167.56521739130434
2006-04-01,4.210117601863533,778.3224016336037,775.637917708582,408.95797570351465,447.24895230477966,173
2006-05-01,4.229291219025137,778.3224016336037,779.1581495115214,409.32887419988305,448.5492924251223,187.77272727272728
2006-06-01,4.080599439225373,782.5045511189376,784.0801844524304,409.7883322181352,445.6836612071058,231.3181818181818
2006-07-01,4.1141943331175215,783.5579246669965,782.7240237212452,410.44710963802163,448.11850191950515,228.05
2006-08-01,4.190940307720957,780.9947086476791,777.890059650927,411.0714930554221,448.180941355628,196.47826086956522
2006-09-01,4.277209184386906,781.0664881538602,778.2666519693817,411.5423626056754,441.5753849025399,206.45
2006-10-01,4.329892439514757,781.9355025368169,776.687375171926,411.7022653482419,436.5094852039293,180.71428571428572
2006-11-01,4.219704869978828,778.1092579771457,773.6671314285579,412.11722787109613,437.7315274389277,189.42857142857142
2006-12-01,4.1141943331175215,777.0645234129177,772.3710742204456,412.3562733026931,441.85798875121316,181.75
2007-01-01,3.994160709294783,775.1690348664151,771.3245226660606,412.7122965804581,437.4942888260274,165
2007-02-01,4.008572353928558,775.5767170102998,770.8833851873185,413.32848149556185,439.7262042604133,163.26315789473685
2007-03-01,4.090199132042574,774.5002803515839,769.6613178954418,414.2885241121776,441.2591122260977,171.0909090909091
2007-04-01,4.305948946044701,771.6460800176355,766.9522224396374,415.03096329529916,444.1155674913228,142.3
2007-05-01,4.401688541677426,770.5262474866325,760.6677253277809,415.38230973305747,444.08180737617266,130.54545454545453
2007-06-01,4.401688541677426,764.9692623711514,756.299392510563,415.63688080281327,447.41925540138124,108.38095238095238
2007-07-01,4.2580447535118475,767.3223121121708,757.5523396120464,416.0507667192691,451.9891205349036,136.04761904761904
2007-08-01,4.162167469081945,768.2597647271917,762.9625961561201,416.1560403979695,450.1740331039657,186.43478260869566
2007-09-01,4.162167469081945,771.8685495198466,765.452071161972,416.42696782186084,452.34787174095123,179.73684210526315
2007-10-01,4.478214277189325,768.7080155783135,760.2118719597863,416.7315880990542,455.79811829707813,160.6818181818182
2007-11-01,4.210117601863533,764.9692623711514,762.3791135361782,417.3996646722213,461.85387553749155,196.2
2007-12-01,4.382547954002951,767.368812926773,760.7978117926308,417.8863281590796,461.68351310494387,188.15
2008-01-01,4.478214277189325,765.254569269392,759.0574573213289,418.535601456761,462.01015672764856,240.76190476190476
2008-02-01,4.688358589885046,764.9692623711514,755.1275670499639,419.47873723750286,470.1533984790747,249.4
2008-03-01,4.569012591711572,760.339933974067,752.1265641706342,420.04835502489675,472.2260911197861,263.05
2008-04-01,4.592893188839973,759.179612242598,749.3387351689355,420.61163539553365,472.1192163971274,215.77272727272728
2008-05-01,4.640637281415583,756.13817013798,748.2294020834305,421.5789823140181,477.3743079867502,179.0952380952381
2008-06-01,5.021771616061751,753.5611655510678,745.1066231000034,422.58646049090487,481.3783388261252,180.61904761904762
2008-07-01,5.012260940321073,754.4332108053688,748.3289141625686,423.30409723336624,484.63835600655807,217.27272727272728
2008-08-01,5.031281387358918,755.9106032082888,752.2231747751613,423.73488185584415,478.1130764794874,221.95238095238096
2008-09-01,5.354076692802976,763.1189152146954,763.9843566301447,423.7234258928609,472.64402447157477,272.7142857142857
2008-10-01,5.259245011917063,769.6212639346408,773.5942401234072,424.37112153583473,456.48821065270084,533
2008-11-01,5.164323315183839,776.503883027626,775.431959307911,424.83221565477163,444.83898359901434,551.1111111111111
2008-12-01,5.278218543896948,780.057265467065,771.8441687702056,425.2807647375303,432.1389185855626,538.0454545454545
2009-01-01,4.974209189481401,778.3224016336037,772.4716860535091,425.4546265448395,434.42629817460175,502.3
2009-02-01,4.783732941416006,780.3843303538772,783.2453098369101,425.73794763463286,433.60136726322753,477.7894736842105
2009-03-01,4.669272799198235,784.3848638152472,781.3299473114528,426.0013774559021,433.92642568331246,483.40909090909093
2009-04-01,4.401688541677426,782.4046010856292,777.4588714203463,426.1919980727441,436.1092074640352,417.23809523809524
2009-05-01,4.44952398865513,777.3804794419545,770.7729025023509,426.24594864000835,441.46741960866154,323.25
