fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi,fed_mp,ebp,oil_shock
2003-10-01,5.9211859631846036,803.4037856380593,796.4223519045928,396.73716414550944,402.2551259491697,446.59090909090907,-0.0397573,-0.5165997197094399,0.740066056769312
2003-11-01,5.638033343610769,802.2896869601457,795.3190146468861,397.28218325564086,403.50524002429785,469.1666666666667,0,-0.5438320189837431,-0.382136393073176
2003-12-01,5.543470688810053,800.6367567650246,793.9428656769846,397.89832407412035,405.64398366183826,439.09090909090907,0.02256343,-0.5074688687517277,1.81731605114926
2004-01-01,5.661660041889594,799.967857949945,791.9295461543915,398.3743573551739,409.6216651643826,387.2,0.12044966,-0.7049394798001392,-0.481148114892097
2004-02-01,5.590763193829608,798.6164860332727,790.6341143477853,399.00190337193214,410.85434977492065,433.4736842105263,0,-0.33477587376025597,-0.77028202122765
2004-03-01,5.448818528406978,798.3951528365915,788.9927201637994,399.71275206171805,414.9802036735107,402.30434782608694,-0.02644689,-0.5217449856535783,0.154807522991012
2004-04-01,5.543470688810053,796.9011781106478,787.8380775281075,400.0239982244207,415.9459175092648,379.85714285714283,0,-0.7626668192499426,0.399804606823801
2004-05-01,5.306672093669222,797.9338895262327,790.8176659195276,400.4439695561764,420.9806247860053,529.25,-0.01825316,-0.37853265587037144,-1.28693486321402
2004-06-01,5.325636630043147,797.2466015974566,790.6958120123935,401.2043392764664,421.4788916166078,486.5,-0.03060632,-0.3826250275347727,2.99462677381937
2004-07-01,5.638033343610769,796.9011781106478,788.2834640146207,401.42444178758853,424.1852767984382,454.2857142857143,0,-0.31874223109861144,-0.265399735702207
2004-08-01,5.354076692802976,795.2843717245798,786.2456973172915,401.7091501673076,427.2715305376612,423.6363636363636,0.04355159,-0.4223844921812028,-2.11628947698163
2004-09-01,5.354076692802976,792.1150942765466,784.471138446059,402.17241338010916,426.68492872979493,398.14285714285717,-0.00961809,-0.5441337065944276,0.709234494381489
2004-10-01,5.354076692802976,793.3796874815412,785.565203649361,402.4645270258957,431.2837423243513,400.55,0,-0.5272874197020114,-1.05272918935169
2004-11-01,5.188062187698888,790.2487437162855,783.5421999408558,402.9362695220524,426.94184843968895,360.9,-0.02228806,-0.665499962550518,0.306604611703171
2004-12-01,5.18331486400172,786.3266724009574,778.7948444689184,403.2524708560951,425.0307433092967,346.6363636363636,-0.01194811,-0.7128615130468818,0.539003892749038
2005-01-01,4.974209189481401,784.7590647701408,776.7316916610202,403.66505649155516,429.1133526963347,358.85,0,-0.6961910223088208,-1.23327107728997
2005-02-01,4.879016416943205,783.9328634387449,775.8617156647728,404.1101510993929,432.15627477054034,357.94736842105266,-0.00838166,-0.926674621839022,-0.165021011336205
2005-03-01,4.936142953772409,784.2475146324659,776.3748935390695,404.6199217247776,437.49080231763804,371,0.05525279,-0.6386169855082011,-0.677936823346217
2005-04-01,4.945660871259249,785.5544677915664,776.2141786606843,404.92928821597707,435.7833627370171,409.85714285714283,0,-0.3837339114966891,1.08522325132938
2005-05-01,4.936142953772409,784.8933726364071,775.7369402128824,405.3654538955327,434.1760239487614,375.76190476190476,-0.03413773,-0.3019511595454967,0.348853776358775
2005-06-01,4.77419959854211,784.6980982138789,775.4390062439558,405.9062242155894,436.8441134990392,339.3636363636364,0.04888017,-0.4477686017081069,-1.08048229259778
2005-07-01,4.640637281415583,782.4046010856292,775.0457165471411,406.20913312952825,436.11431030527683,322.2,0,-0.5507438400173306,-0.44926622909465
2005-08-01,4.640637281415583,780.3843303538772,774.330480532166,406.45687853127725,438.17419223637313,304.4782608695652,-0.02302462,-0.5489038853729655,-1.09003983487289
2005-09-01,4.60721881023831,780.0777383916937,773.8261724838336,407.0604155112675,438.6589458957461,261.23809523809524,0.02156953,-0.4566147723281291,-0.61007800826665
2005-10-01,4.49733656427312,778.3224016336037,773.718191488631,407.60801523170437,434.5067042762543,277.65,0,-0.3391751594701786,-0.022687572239789
2005-11-01,4.745594115629533,777.2752716468742,773.1902943784899,407.895731943307,431.5837480343446,253.45,-0.00969579,-0.30916094963126506,1.18687013369626
2005-12-01,4.545126290391735,776.3977484390173,773.1451492683685,407.97614939739685,434.17118860871955,240.1904761904762,-0.04542651,-0.28030994741416326,-1.03848477145083
2006-01-01,4.420825466432028,776.2170607138205,772.8638515205823,408.1139516412958,441.06174242829627,212.7,0.02895394,-0.3496957839324071,-1.48189632878138
2006-02-01,4.296369943211572,775.5801430758065,772.1510273682235,408.2142452190152,442.4148321337653,174.10526315789474,0,-0.30498385105092773,0.0718008640139679
2006-03-01,4.2580447535118475,776.2170607138205,772.4163594289971,408.66460063930737,443.4004976116649,167.56521739130434,0.06073457,-0.3920128400382428,-1.24933461839094
2006-04-01,4.210117601863533,778.3224016336037,775.637917708582,408.95797570351465,447.24895230477966,173,0,-0.42911382413509713,-0.927400934672269
2006-05-01,4.229291219025137,778.3224016336037,779.1581495115214,409.32887419988305,448.5492924251223,187.77272727272728,0.03768805,-0.3311891848453792,-0.0596255004585244
2006-06-01,4.080599439225373,782.5045511189376,784.0801844524304,409.7883322181352,445.6836612071058,231.3181818181818,-0.05438658,-0.3403432286345769,-0.255869021686984
2006-07-01,4.1141943331175215,783.5579246669965,782.7240237212452,410.44710963802163,448.11850191950515,228.05,0,-0.23942919224374837,0.0659817818797905
2006-08-01,4.190940307720957,780.9947086476791,777.890059650927,411.0714930554221,448.180941355628,196.47826086956522,-0.00607437,-0.2643011141942553,-0.027123524846354
2006-09-01,4.277209184386906,781.0664881538602,778.2666519693817,411.5423626056754,441.5753849025399,206.45,0.02520327,-0.3252433984368217,0.0805027013549804
